Init time, 0.050705
Iteration: 373, 0.065861, 27.043048
Iteration: 374, 0.065672, 27.110757
Iteration: 375, 0.062623, 27.175289
Iteration: 376, 0.064928, 27.242541
Iteration: 377, 0.064163, 27.308748
Iteration: 378, 0.065349, 27.376145
Iteration: 379, 0.065228, 27.443460
Iteration: 380, 0.081590, 27.527137
Iteration: 381, 0.067309, 27.596473
Iteration: 382, 0.064518, 27.663074
Iteration: 383, 0.064479, 27.729480
Iteration: 384, 0.067921, 27.799533
Iteration: 385, 0.065883, 27.867375
Iteration: 386, 0.067611, 27.937103
Iteration: 387, 0.066210, 28.005509
Iteration: 388, 0.068517, 28.076251
Iteration: 389, 0.067963, 28.146312
Iteration: 390, 0.064226, 28.212444
Iteration: 391, 0.068461, 28.283962
Iteration: 392, 0.066179, 28.352181
Iteration: 393, 0.068040, 28.422356
Iteration: 394, 0.066947, 28.491337
Iteration: 395, 0.067966, 28.561937
Iteration: 396, 0.073093, 28.637098
Iteration: 397, 0.068040, 28.707348
Iteration: 398, 0.066907, 28.776895
Iteration: 399, 0.065639, 28.844615
Iteration: 400, 0.064138, 28.910694
Iteration: 401, 0.064983, 28.977835
Iteration: 402, 0.065154, 29.045044
Iteration: 403, 0.064418, 29.111482
Iteration: 404, 0.062589, 29.176023
Iteration: 405, 0.065042, 29.243170
Iteration: 406, 0.064836, 29.310049
Iteration: 407, 0.069099, 29.381186
Iteration: 408, 0.062668, 29.445820
Iteration: 409, 0.066710, 29.514599
Iteration: 410, 0.068793, 29.585532
Iteration: 411, 0.066870, 29.654587
Iteration: 412, 0.066517, 29.723182
Iteration: 413, 0.065038, 29.790732
Iteration: 414, 0.062864, 29.855938
Iteration: 415, 0.064803, 29.922818
Iteration: 416, 0.064536, 29.989386
Iteration: 417, 0.064702, 30.056486
Iteration: 418, 0.061548, 30.120299
Iteration: 419, 0.065550, 30.187970
Iteration: 420, 0.064777, 30.254813
Iteration: 421, 0.064638, 30.321538
Iteration: 422, 0.065294, 30.388863
Iteration: 423, 0.064776, 30.455704
Iteration: 424, 0.062243, 30.519929
Iteration: 425, 0.064855, 30.586906
Iteration: 426, 0.062044, 30.650972
Iteration: 427, 0.065123, 30.718147
Iteration: 428, 0.066123, 30.786407
Iteration: 429, 0.066391, 30.854864
Iteration: 430, 0.066668, 30.923585
Iteration: 431, 0.064505, 30.990701
Iteration: 432, 0.065597, 31.058679
Iteration: 433, 0.062526, 31.123542
Iteration: 434, 0.064606, 31.190721
Iteration: 435, 0.064383, 31.257494
Iteration: 436, 0.064141, 31.324006
Iteration: 437, 0.062332, 31.388618
Iteration: 438, 0.065802, 31.456609
Iteration: 439, 0.064904, 31.523883
Iteration: 440, 0.064228, 31.590538
Iteration: 441, 0.065123, 31.658046
Iteration: 442, 0.064700, 31.725180
Iteration: 443, 0.064944, 31.792242
Iteration: 444, 0.065189, 31.859491
Iteration: 445, 0.063811, 31.925243
Iteration: 446, 0.065937, 31.993267
Iteration: 447, 0.063640, 32.058858
Iteration: 448, 0.066908, 32.128063
Iteration: 449, 0.065966, 32.196193
Iteration: 450, 0.064716, 32.262977
Iteration: 451, 0.066486, 32.331465
Iteration: 452, 0.062560, 32.395956
Iteration: 453, 0.066085, 32.464115
Iteration: 454, 0.065130, 32.531273
Iteration: 455, 0.064562, 32.597893
Iteration: 456, 0.062597, 32.662440
Iteration: 457, 0.065766, 32.730275
Iteration: 458, 0.069194, 32.801486
Iteration: 459, 0.065199, 32.868715
Iteration: 460, 0.070496, 32.941301
Iteration: 461, 0.064760, 33.008473
Iteration: 462, 0.062128, 33.072936
Iteration: 463, 0.064535, 33.140245
Iteration: 464, 0.064209, 33.206825
Iteration: 465, 0.064674, 33.273898
Iteration: 466, 0.061985, 33.338157
Iteration: 467, 0.077064, 33.417287
Iteration: 468, 0.081928, 33.504991
Iteration: 469, 0.076226, 33.583552
Iteration: 470, 0.071188, 33.657806
Iteration: 471, 0.066975, 33.727202
Iteration: 472, 0.061786, 33.790954
Iteration: 473, 0.065337, 33.858707
Iteration: 474, 0.061973, 33.922647
Iteration: 475, 0.065197, 33.989898
Iteration: 476, 0.066848, 34.059347
Iteration: 477, 0.064600, 34.126006
Iteration: 478, 0.067980, 34.196049
Iteration: 479, 0.066364, 34.264505
Iteration: 480, 0.065070, 34.331635
Iteration: 481, 0.062607, 34.396173
Iteration: 482, 0.066850, 34.465084
Iteration: 483, 0.062401, 34.529512
Iteration: 484, 0.065878, 34.597453
Iteration: 485, 0.064716, 34.664192
Iteration: 486, 0.064745, 34.730963
Iteration: 487, 0.071414, 34.804427
Iteration: 488, 0.072302, 34.879183
Iteration: 489, 0.068093, 34.949394
Iteration: 490, 0.065493, 35.016857
Iteration: 491, 0.069733, 35.088669
Iteration: 492, 0.068674, 35.159606
Iteration: 493, 0.087172, 35.248901
Iteration: 494, 0.067820, 35.318690
Iteration: 495, 0.068385, 35.389234
Iteration: 496, 0.067383, 35.458775
Iteration: 497, 0.064922, 35.525821
Iteration: 498, 0.064479, 35.592306
