Init time, 0.032323
Iteration: 496, 0.017801, 11.692180
Iteration: 497, 0.024462, 11.716644
Iteration: 498, 0.018551, 11.735196
Iteration: 499, 0.024610, 11.759808
Iteration: 500, 0.027127, 11.786936
Iteration: 501, 0.020968, 11.807906
Iteration: 502, 0.021527, 11.829435
Iteration: 503, 0.021475, 11.850912
Iteration: 504, 0.022846, 11.873759
Iteration: 505, 0.027129, 11.900890
Iteration: 506, 0.026987, 11.927879
Iteration: 507, 0.020147, 11.948028
Iteration: 508, 0.024928, 11.972957
Iteration: 509, 0.024637, 11.997596
Iteration: 510, 0.022549, 12.020147
Iteration: 511, 0.019280, 12.039428
Iteration: 512, 0.026891, 12.066321
Iteration: 513, 0.025906, 12.092229
Iteration: 514, 0.022243, 12.114473
Iteration: 515, 0.018295, 12.132769
Iteration: 516, 0.023669, 12.156439
Iteration: 517, 0.023668, 12.180109
Iteration: 518, 0.025252, 12.205363
Iteration: 519, 0.018124, 12.223489
Iteration: 520, 0.022393, 12.245884
Iteration: 521, 0.018524, 12.264410
Iteration: 522, 0.018995, 12.283406
Iteration: 523, 0.026826, 12.310234
Iteration: 524, 0.025784, 12.336020
Iteration: 525, 0.022259, 12.358280
Iteration: 526, 0.019938, 12.378219
Iteration: 527, 0.023465, 12.401686
Iteration: 528, 0.020107, 12.421795
Iteration: 529, 0.017873, 12.439670
Iteration: 530, 0.021446, 12.461117
Iteration: 531, 0.024094, 12.485212
Iteration: 532, 0.021660, 12.506873
Iteration: 533, 0.023082, 12.529958
Iteration: 534, 0.026673, 12.556633
Iteration: 535, 0.022594, 12.579229
Iteration: 536, 0.020501, 12.599733
Iteration: 537, 0.019910, 12.619644
Iteration: 538, 0.021973, 12.641619
Iteration: 539, 0.018694, 12.660315
Iteration: 540, 0.040919, 12.701236
Iteration: 541, 0.019636, 12.720874
Iteration: 542, 0.039606, 12.760481
Iteration: 543, 0.018626, 12.779109
Iteration: 544, 0.022377, 12.801487
Iteration: 545, 0.020230, 12.821720
Iteration: 546, 0.028530, 12.850252
Iteration: 547, 0.020889, 12.871143
Iteration: 548, 0.023329, 12.894473
Iteration: 549, 0.024969, 12.919444
Iteration: 550, 0.028363, 12.947809
Iteration: 551, 0.025336, 12.973147
Iteration: 552, 0.018896, 12.992045
Iteration: 553, 0.025463, 13.017509
Iteration: 554, 0.026215, 13.043726
Iteration: 555, 0.021453, 13.065180
Iteration: 556, 0.019027, 13.084209
Iteration: 557, 0.022784, 13.106995
Iteration: 558, 0.023214, 13.130211
Iteration: 559, 0.017549, 13.147762
